date,ticker,price,volume
2026-01-01,SPY,678.581719195194,54104086
2026-01-02,SPY,678.9480981658704,99607193
2026-01-05,SPY,677.6802574447667,81300682
2026-01-06,SPY,676.8160199824746,75841010
2026-01-07,SPY,676.7480426085181,59489226
2026-01-08,SPY,678.3632842742901,78172355
2026-01-09,SPY,679.0201869356401,88090952
2026-01-12,SPY,679.3631351962657,82596175
2026-01-13,SPY,679.6327938397621,92370937
2026-01-14,SPY,679.2528343762523,61310708
2026-01-15,SPY,679.9971520514781,74279233
2026-01-16,SPY,680.1368146507886,63090147
2026-01-19,SPY,681.313923197168,57458890
2026-01-20,SPY,682.6409020489268,82147983
2026-01-21,SPY,684.1802883221857,85723552
2026-01-22,SPY,683.4842116486755,65815410
2026-01-23,SPY,683.7348899017852,78282123
2026-01-26,SPY,682.8199886859767,96853624
2026-01-27,SPY,682.8241419207134,63027813
2026-01-28,SPY,681.8230447029364,97370781
